trip_id,timestamp,coords,segment,%,bus_stop_number,expected_arrival_time,delay,accumulated_distance
289202411051522_221_289-32,2024-11-05 16:00:03,"[54.30963897705078, 18.600210189819336]",['54.31402255326_18.602844083627_54.309506174131_18.599509141046'],0.8421803813331277,STOP 15,"[0, -12.05]",12.05,[7.97156149]
205202411051506_101_205-05,2024-11-05 16:00:04,"[54.29481887817383, 18.6343002319336]",['54.299448013875_18.631865155799_54.293734517797_18.634821120061'],0.45697186214577656,,[-34.06666666666667],34.06666666666667,[7.75097603]
184202411051505_121_184-03,2024-11-05 16:00:04,"[54.364219665527344, 18.57353973388672]",['54.363073513971_18.574602134041_54.367599448647_18.571671797762'],0.7781165322913268,STOP 18,"[0, -23.066666666666666]",23.066666666666666,[8.84271307]
158202411051502_201_158-03,2024-11-05 16:00:03,"[54.38780975341797, 18.59305000305176]",['54.388432515106_18.596088518008_54.387214917696_18.591831403215'],0.9225693486423893,,[-16.05],16.05,[17.33346139]
7202411051518_32_007-09,2024-11-05 16:00:05,"[54.34415817260742, 18.61746025085449]",['54.345258688549_18.6217219838_54.341261982761_18.617813992896'],0.7488927828600644,,[-4.083333333333333],4.083333333333333,[11.87310026]
12202411051500_311_012-25,2024-11-05 16:00:03,"[54.40967178344727, 18.566240310668945]",['54.409650401126_18.56611943276_54.409762224039_18.567207045928'],0.8026797644793634,,[-4.05],4.05,[18.36139053]
107202411051524_202_107-10,2024-11-05 16:00:03,"[54.26499176025391, 18.66457939147949]",['54.265137001548_18.66336561139_54.265034348754_18.665490737681'],0.6066201442949046,STOP 16,"[0, -1.05]",1.05,[8.07997416]
171202411051556_11_171-01,2024-11-05 16:00:04,"[54.40816116333008, 18.559789657592773]",['54.408585696679_18.562807426789_54.409008592677_18.558821563042'],0.03364347779197588,,[-3.066666666666667],3.066666666666667,[0.6929228]
158202411051541_12_158-02,2024-11-05 16:00:04,"[54.39281845092773, 18.640310287475582]",['54.394379568577_18.636843530707_54.39111073627_18.643917305158'],0.45305428508397866,,[-2.066666666666667],2.066666666666667,[6.91579982]
132202411051527_202_132-37,2024-11-05 16:00:04,"[54.25843048095703, 18.631629943847656]",['54.255114622195_18.632119574813_54.25860269287_18.629831326967'],0.16586928803056133,,[-24.066666666666666],24.066666666666666,[3.04633061]
127202411051532_42_127-36,2024-11-05 16:00:04,"[54.37208938598633, 18.600250244140625]",['54.369944871961_18.596768739311_54.373586162614_18.603115585039'],0.738069173632124,,[-7.066666666666666],7.066666666666666,[6.62435648]
256202411051537_11_256-02,2024-11-05 16:00:03,"[54.33023071289063, 18.63079071044922]",['54.330878331494_18.633781170802_54.330226730486_18.625327840664'],0.30734544729189983,,[-11.05],11.05,[3.88554242]
154202411051534_22_154-04,2024-11-05 16:00:05,"[54.34965133666992, 18.64604949951172]",['54.349184191279_18.645855801516_54.351762930454_18.646708662796'],0.7455076043387864,,[-13.083333333333334],13.083333333333334,[4.79401561]
2202411051532_131_002-08,2024-11-05 16:00:02,"[54.35594940185547, 18.645790100097656]",['54.35212420454_18.646334040368_54.357403124416_18.645970580025'],0.4500190557956077,STOP 16,"[0, -1.0333333333333334]",1.0333333333333334,[7.96842405]
127202411051454_41_127-04,2024-11-05 16:00:04,"[54.36589813232422, 18.58941078186035]",['54.366987153679_18.590906414755_54.361987067416_18.589921484446'],0.7019302525588764,,[-21.066666666666666],21.066666666666666,[11.18958655]
11202411051523_11_011-01,2024-11-05 16:00:04,"[54.33850860595703, 18.61845016479492]",['54.341261982761_18.617813992896_54.337880702405_18.616394183494'],0.7047745281442646,,[-6.066666666666666],6.066666666666666,[10.12241654]
7202411051552_32_007-34,2024-11-05 16:00:04,"[54.399391174316406, 18.668920516967773]",['54.402713138369_18.665024732301_54.399256573184_18.669442809963'],0.14272594059531102,,[-2.066666666666667],2.066666666666667,[2.26280643]
